method,seed,training_seed,step,train_loss,train_classification,train_invariance,train_budget_excess,validation_total,validation_classification,validation_invariance,validation_budget_excess,validation_uniform_reference,validation_worst_nuisance_auroc,validation_max_sms_budget_ratio,validation_sms_budget_satisfied
anchored_iera,2,2028,500,1.1293056547641753,0.5077492022514343,2.2795543418824673,0.621556449830532,1.367482602596283,0.6272262632846832,2.6185096502304077,0.7402563691139221,2.6832189559936523,0.6448000073432922,1.402368123053457,0.0
anchored_iera,2,2028,525,1.2272488403320312,0.5747813510894776,2.251147078201175,0.6524674947559833,1.3671006560325623,0.6272095441818237,2.618144392967224,0.7398911118507385,2.6832189559936523,0.6448000073432922,1.4021900384290522,0.0
anchored_iera,2,2028,550,1.1255270195007325,0.5754949748516083,1.9740079007297755,0.5500320443511009,1.3667000532150269,0.6271893084049225,2.6177639961242676,0.739510715007782,2.6832189559936523,0.6448000073432922,1.4020119538046472,0.0
anchored_iera,2,2028,575,1.0316949033737182,0.49571173191070556,1.9323528018593787,0.5359831753373147,1.3660885095596313,0.6271575093269348,2.617184281349182,0.7389310002326965,2.6832189559936523,0.6448000073432922,1.4017315316075414,0.0
anchored_iera,2,2028,600,0.9389936423301697,0.5459873384237289,1.4814052879810333,0.39300630390644076,1.36576908826828,0.6271378695964813,2.616884469985962,0.7386311888694763,2.6832189559936523,0.6448000073432922,1.4016000163280171,0.0
anchored_iera,2,2028,625,1.1644694709777832,0.5627971303462982,2.1071156948804854,0.6016723453998566,1.3654629588127136,0.6271205842494965,2.6165956258773804,0.7383423447608948,2.6832189559936523,0.6448000073432922,1.4014669199904877,0.0
anchored_iera,2,2028,650,0.9254311108589173,0.4976839309930801,1.620097486525774,0.4277471768856049,1.3649464845657349,0.6270889937877655,2.6161108016967773,0.7378575205802917,2.6832189559936523,0.6448000073432922,1.4012411161608347,0.0
anchored_iera,2,2028,675,0.8353013563156128,0.5065688443183899,1.3062597197294235,0.3287325131893158,1.364439070224762,0.6270620822906494,2.615630269050598,0.7373769879341125,2.6832189559936523,0.6448000073432922,1.4010148811335439,0.0
anchored_iera,2,2028,700,1.0535267341136931,0.5338197576999665,1.9090589255094528,0.519706971347332,1.363885223865509,0.6270304620265961,2.615108013153076,0.7368547320365906,2.6832189559936523,0.6448000073432922,1.4007643553059912,0.0
anchored_iera,2,2028,725,1.0009885621070862,0.5232203769683837,1.7674138018488883,0.47776819199323656,1.363403856754303,0.6270093023777008,2.61464786529541,0.7363945841789246,2.6832189559936523,0.6431999802589417,1.400548900219645,0.0
anchored_iera,2,2028,750,0.9726621639728547,0.49680300116539,1.7227308560907841,0.4758591651916504,1.36301589012146,0.626992255449295,2.614276885986328,0.7360236048698425,2.6832189559936523,0.6431999802589417,1.4003792958154497,0.0
anchored_iera,2,2028,775,0.8783893537521362,0.510599365234375,1.5274527169018983,0.3677899950742722,1.362181544303894,0.6269654631614685,2.613469362258911,0.7352160811424255,2.6832189559936523,0.6431999802589417,1.399988774488163,0.0
anchored_iera,2,2028,800,1.0203071439266205,0.48567661106586457,1.8879539719223977,0.534630533605814,1.3616344928741455,0.6269577741622925,2.612929940223694,0.7346766591072083,2.6832189559936523,0.6431999802589417,1.3997182698367263,0.0
