pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.5,1,0.6290549993515014,0.31119704246520996,0.01332999467849727,0.6975614276107158,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.5,3,0.6567049980163574,0.3281253159046173,0.024029994010925315,0.6810522535945653,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.5,5,0.6904550075531006,0.3230501413345337,0.023070013523101895,0.6630597777543641,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.5,10,0.7194375038146973,0.31636867523193357,0.023512494564056463,0.6511760219805312,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.3,1,0.5226249873638154,0.23107287883758545,0.009527480602264493,0.7874865365989734,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.3,3,0.5379024982452393,0.2502206712961197,0.009047496318817183,0.7752301697460516,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.3,5,0.5463899970054626,0.2592023730278015,0.004644995927810647,0.7649611123542186,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.3,10,0.566902506351471,0.2580260694026947,0.0084725022315979,0.763232165366825,True
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.3,1,0.6345499992370606,0.21734582483768464,0.018824994564056396,0.7887712541932996,True
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.3,3,0.6669750094413758,0.22708292603492736,0.03430000543594369,0.7792685172544076,True
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.3,5,0.7012624859809875,0.22580097913742064,0.03387749195098877,0.7644903302640602,True
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.3,10,0.7311524987220764,0.2196119636297226,0.035227489471435613,0.7578587111450713,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,mean_difference_projection,,1,0.5209524989128113,1.8335511922836303,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,mean_difference_projection,,3,0.5204425036907196,1.5936236381530762,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,mean_difference_projection,,5,0.5386725068092346,1.2408364295959473,nan,nan,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,mean_difference_projection,,10,0.553505003452301,1.0174229741096497,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,mean_difference_projection,,1,0.5868800044059753,1.3818117141723634,nan,nan,False
Edema__Cardiomegaly,Edema,Cardiomegaly,mean_difference_projection,,3,0.5990000009536743,1.024438500404358,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,mean_difference_projection,,5,0.6443999886512757,0.899113941192627,nan,nan,True
Edema__Cardiomegaly,Edema,Cardiomegaly,mean_difference_projection,,10,0.6657999992370606,0.812400507926941,nan,nan,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,nuisance_balanced,,1,0.5321300029754639,1.0873329639434814,nan,nan,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,nuisance_balanced,,3,0.5377924919128418,1.1132306575775146,nan,nan,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,nuisance_balanced,,5,0.5572649955749511,1.102806282043457,nan,nan,True
