partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,d0_auroc,10,0.058750000596046445,0.028406448335907865,0.08909355285618503
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,d1_auroc,10,0.05485499203205109,0.0191283164049927,0.09058166765910948
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,worst_nuisance_auroc,10,0.0490649938583374,0.014227168609492864,0.08390281910718195
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,auroc,10,0.06535749137401581,0.04132557556772194,0.08938940718030967
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,auprc,10,0.03692188262939453,0.009063460775508663,0.0647803044832804
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,d0_auroc,10,0.05960000455379486,0.027331593306702984,0.09186841580088674
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,d1_auroc,10,0.06994999647140503,0.03741321361866634,0.10248677932414371
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,10,worst_nuisance_auroc,10,0.05807999670505524,0.025019433551179034,0.09114055985893144
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,auroc,10,0.05602999031543732,0.03620261768844411,0.07585736294243053
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,auprc,10,0.05097121000289917,0.03456257700775606,0.06737984299804228
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,d0_auroc,10,0.08233999311923981,0.058512158914538676,0.10616782732394095
