pair,target,confounder,method,rho,shot,seed,metric,value
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0,worst_nuisance_auroc,0.5224000215530396
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,auroc,0.531000018119812
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,auprc,0.5247533917427063
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,brier,0.250044584274292
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,ece,0.019321516156196594
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,sms_raw_logit,0.009165792725980282
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,sms_fixed_reference,0.45939621329307556
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,ranking_disagreement,0.5326817035675049
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,d0_auroc,0.5480999946594238
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,d1_auroc,0.5156999826431274
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0,worst_nuisance_auroc,0.5156999826431274
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,auroc,0.49982500076293945
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,auprc,0.488812118768692
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,brier,0.25365689396858215
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,ece,0.03753131255507469
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,sms_raw_logit,0.007305225357413292
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,sms_fixed_reference,0.46587786078453064
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,ranking_disagreement,0.5386533737182617
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,d0_auroc,0.5063999891281128
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,d1_auroc,0.4909999966621399
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0,worst_nuisance_auroc,0.4909999966621399
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,auroc,0.5325750112533569
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,auprc,0.5295550227165222
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,brier,0.24907290935516357
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,ece,0.026663707569241524
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,sms_raw_logit,0.0054633705876767635
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,sms_fixed_reference,0.4567769169807434
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,ranking_disagreement,0.5100125074386597
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,d0_auroc,0.5426999926567078
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,d1_auroc,0.5189999938011169
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0,worst_nuisance_auroc,0.5189999938011169
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0,auroc,0.62152498960495
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0,auprc,0.5889111161231995
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0,f1,0.6832740306854248
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0,brier,0.23840902745723724
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0,ece,0.0716499611735344
