pair,target,confounder,method,shot,metric,mean,std
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,sms_raw_logit,0.5800516366958618,0.05119305000648522
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,sms_normalized_logit,1.0125017046928406,0.05412852750235413
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,support_swap_flip_rate,0.1760000005364418,0.04788005918907473
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,support_swap_error_gap,0.01800000071525574,0.021389240036154614
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,worst_support_panel_error,0.5079999923706054,0.014404846553342643
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,d0_auroc,0.4991200089454651,0.05223593433329838
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,d0_auprc,0.5215162396430969,0.038631733712269065
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,d1_auroc,0.5187200009822845,0.049418542351298014
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,d1_auprc,0.5357777893543243,0.06432402215104925
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,worst_nuisance_auroc,0.4764000058174133,0.04213977418226871
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,worst_nuisance_auprc,0.5097390830516815,0.048402903480495356
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,auroc,0.48459999561309813,0.028233317418267546
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,auprc,0.5104398012161255,0.033396403403225174
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,f1,0.6666666865348816,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,brier,0.2508451700210571,0.0005462990683558338
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,ece,0.03376082517206669,0.017482514732298945
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,false_positive_c0d1,0.5173113107681274,0.0036505654942261406
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,sms_raw_logit,0.5923376679420471,0.04153181584322367
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,sms_normalized_logit,1.0003502249717713,0.10592291465075049
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,support_swap_flip_rate,0.19600000083446503,0.05017469908786129
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,support_swap_error_gap,0.009999990463256836,0.006123718516919305
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,worst_support_panel_error,0.5059999942779541,0.00894426338007676
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,d0_auroc,0.4945599913597107,0.07686850452510816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,d0_auprc,0.5216247081756592,0.05860743114925288
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,d1_auroc,0.4751200020313263,0.053139376578228
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,d1_auprc,0.5095942795276642,0.046699594045902564
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,worst_nuisance_auroc,0.43911999464035034,0.022814731156193733
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,worst_nuisance_auprc,0.48245893120765687,0.022070757805272633
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,auroc,0.5171799898147583,0.021406238463977843
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,auprc,0.5135498642921448,0.01884884929790442
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,f1,0.6680701971054077,0.003138345042835924
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,brier,0.25077267587184904,0.0015253225106129807
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,ece,0.03268029615283012,0.027003584308331014
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,false_positive_c0d1,0.523969829082489,0.014222945952652858
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,sms_raw_logit,0.6306347012519836,0.04021997914954333
