pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,worst_support_panel_error,0.5249999761581421
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,d0_auroc,0.5067999958992004
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,d0_auprc,0.5177842974662781
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,d1_auroc,0.44600000977516174
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,d1_auprc,0.47130152583122253
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,worst_nuisance_auroc,0.44600000977516174
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,0,10.0,0.1,worst_nuisance_auprc,0.47130152583122253
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,auroc,0.5284000039100647
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,auprc,0.5875963568687439
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,brier,0.24989362061023712
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,ece,0.0753660798072815
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,false_positive_c0d1,0.5174756050109863
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,sms_raw_logit,0.607700765132904
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,sms_normalized_logit,1.0570323467254639
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,support_swap_flip_rate,0.1850000023841858
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,support_swap_error_gap,0.004999995231628418
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,worst_support_panel_error,0.5199999809265137
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,d0_auroc,0.5108000040054321
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,d0_auprc,0.5694341063499451
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,d1_auroc,0.5496000051498413
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,d1_auprc,0.6306727528572083
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,worst_nuisance_auroc,0.5108000040054321
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,3,0,10.0,0.1,worst_nuisance_auprc,0.5694341063499451
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,auroc,0.48969998955726624
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,auprc,0.5405614376068115
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,brier,0.250865638256073
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,ece,0.039780136197805405
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,false_positive_c0d1,0.5171404480934143
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,sms_raw_logit,0.6629559993743896
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,sms_normalized_logit,1.116099238395691
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,support_swap_flip_rate,0.27000001072883606
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,support_swap_error_gap,0.009999990463256836
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,worst_support_panel_error,0.5199999809265137
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,d0_auroc,0.4747999906539917
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,d0_auprc,0.5177798867225647
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,d1_auroc,0.5120000243186951
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,d1_auprc,0.587219774723053
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,worst_nuisance_auroc,0.4747999906539917
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,5,0,10.0,0.1,worst_nuisance_auprc,0.5177798867225647
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,auroc,0.482699990272522
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,auprc,0.49589669704437256
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,brier,0.25131869316101074
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,ece,0.017474638298153877
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,false_positive_c0d1,0.519625186920166
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,sms_raw_logit,0.6795011162757874
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,sms_normalized_logit,1.1366844177246094
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,support_swap_flip_rate,0.2849999964237213
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,support_swap_error_gap,0.05500000715255737
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,worst_support_panel_error,0.5550000071525574
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,d0_auroc,0.45239999890327454
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,d0_auprc,0.4806881248950958
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,d1_auroc,0.5248000025749207
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,d1_auprc,0.5386135578155518
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,worst_nuisance_auroc,0.45239999890327454
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,10,0,10.0,0.1,worst_nuisance_auprc,0.4806881248950958
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,auroc,0.6869999766349792
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,auprc,0.6394966840744019
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,f1,0.7165354490280151
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,brier,0.23345600068569183
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,ece,0.06902376562356949
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,false_positive_c0d1,0.559665858745575
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,sms_raw_logit,0.514854371547699
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,sms_normalized_logit,0.8110839128494263
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,support_swap_flip_rate,0.17499999701976776
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,support_swap_error_gap,0.014999985694885254
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,worst_support_panel_error,0.4099999964237213
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,d0_auroc,0.7056000232696533
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,1,0,2.0,0.5,d0_auprc,0.6349644660949707
